Item,Qty,Reference(s),Value,Digikey Part,Mouser Part
1,1,BZ1,Buzzer,102-1156-ND,490-CEM-1212S
2,2,"C1, C8",1uF,399-13743-1-ND,80-C322C105K5R9170-R
3,7,"C2, C3, C4, C5, C6, C7, C9",0.1uF,399-9877-1-ND,80-C322C104K5R-TR
4,1,C10,1µF,493-11321-3-ND,80-ESC105M050AC3AA
5,1,C11,0.1uF,399-9877-1-ND,80-C322C104K5R-TR
6,2,"D1, D2",LED_Red,160-1087-ND,859-LTL-10223W
7,1,D3,1N5819,1N5819GOS-ND,863-1N5819G
8,4,"D4, D5, D6, D7",1N914,1N914FS-ND,512-1N914
9,2,"J1, J2",A_40-LC-TT,AE10008-ND,517-4840-6004-CP
10,1,J3,Connector,732-5310-ND,855-M20-9982045
11,2,"J4, J5",A_28-LC-TT,AE10004-ND,517-4828-3004-CP
12,1,J6,Barrel_Jack,CP-018H-ND,490-PJ-018H
13,20,"KB1, KB2, KB3, KB4, KB5, KB6, KB7, KB8, KB9, KB10, KB11, KB12, KB13, KB14, KB15, KB16, KB17, KB18, KB19, KB20",Push_Button,CH162-ND,540-MX1A-11NN
14,3,"R1, R2, R5",1K,CF14JT1K00CT-ND,660-CFP1/4CT52R102J
15,2,"R3, R4",1K,CF14JT1K00CT-ND,660-CFP1/4CT52R102J
16,4,"R6, R7, R8, R9",100K,CF14JT100KCT-ND,660-CF1/2CT52R104J
17,1,RV1,10K,490-2875-ND,81-PV36W103C01B00
18,1,SW1,Reset Button,401-1978-ND,611-D6R90LFS
19,1,U1,HD44780U,2470-ACM1602KC-NLW-BBW-R-ND,485-181
20,1,U2,WD65C02,,955-W65C02S6TPG-14
21,1,U3,28C256,AT28C256-15PU-ND,556-AT28C25615PU
22,1,U4,62256,1450-1033-ND,913-AS6C62256-55PCN
23,1,U5,WD65C22,,955-W65C22S6TPG-14
24,1,U6,74HC00,2156-CD74HC00E-HC-ND,595-CD74HC00E
25,1,U7,MM74C922,,
26,1,U8,L7805,497-1443-5-ND,511-L7805CV
27,1,U9,MCP102-475,MCP102-475E/TO-ND,579-MCP102-475E/TO
28,1,X1,1MHz,X937-ND,520-TCF100-X
